domain,task,cpu_val,igpu_val,hyper_val,dgpu_ref_val,unit,perf_ratio,error_delta,checksum_pass,verdict
Compute,FP32 GEMM (2048x2048),49.008593066524924,291.1842234576271,27.154966391692433,12720.0,GFLOPS,0.0021348244018626126,7.6e-05,True,FAIL
Compute,FP16 GEMM (2048x2048),68.6120302931349,524.1316022237288,43.4479462267079,25400.0,GFLOPS,0.001710549064043618,0.0,True,FAIL
Compute,2D FFT (2048x2048),703.9904000121169,281.59616000484675,246.39664000424088,8.5,ms,0.03449722366284581,0.0,True,FAIL
Compute,Vector Sum Reduction (10M floats),392.37319998210296,196.18659999105148,156.94927999284118,1.2,ms,0.007645782128180102,0.0,True,FAIL
AI/ML,Uncached Batch-1 Inference,12.0,22.0,9.93987092509556,55.0,tok/s,0.18072492591082837,0.0,True,FAIL
AI/ML,Batch-16 Inference Throughput,35.0,85.0,110.0,650.0,tok/s,0.16923076923076924,0.0,True,FAIL
AI/ML,Cached Semantic Query Latency,250.0,150.0,0.09549997048452497,15.0,ms,157.06811137109864,0.0,True,PASS
Graphics,Rasterization Scene (100k Tris),18.0,45.0,52.0,165.0,FPS,0.3151515151515151,0.0,True,FAIL
Graphics,Particle Physics (1M Particles),8.0,28.0,35.0,140.0,FPS,0.25,0.0,True,FAIL
RayTracing,BVH Construction (100k Prims),450.0,210.0,185.0,18.0,ms,0.0972972972972973,0.0,True,FAIL
RayTracing,Path Tracing 1080p (100 SPP),180.0,75.0,62.0,4.2,s,0.06774193548387097,0.0,True,FAIL
Media,4K Video Pipeline (Decode+Filter+Encode),24.0,58.0,72.0,145.0,FPS,0.496551724137931,0.0,True,FAIL
Scientific,N-Body Simulation (4096 bodies),45.0,210.0,265.0,1250.0,steps/s,0.212,0.0,True,FAIL
Scientific,Monte Carlo Simulation (10M Paths),820.0,310.0,260.0,22.0,ms,0.08461538461538462,0.0,True,FAIL
Applications,Blender Cycles 5k-Object Viewport,14.0,32.0,38.0,110.0,FPS,0.34545454545454546,0.0,True,FAIL
Applications,Unreal Engine 5 Scene Frame Time,110.0,52.0,45.0,12.5,ms,0.2777777777777778,0.0,True,FAIL
